Long;Lat;Commune;group;order
3.455518181818182;5.485527272727273;ABOBO;1;1
3.493309090909091;5.493309090909091;ABOBO;1;2
3.5029454545454546;5.493681818181818;ABOBO;1;3
3.5085;5.493681818181818;ABOBO;1;4
3.5092454545454546;5.494418181818181;ABOBO;1;5
3.517390909090909;5.494054545454546;ABOBO;1;6
3.5211;5.492572727272727;ABOBO;1;7
3.5248;5.491827272727273;ABOBO;1;8
3.535918181818182;5.505163636363636;ABOBO;1;9
3.538136363636364;5.5044272727272725;ABOBO;1;10
3.5411;5.505163636363636;ABOBO;1;11
3.546290909090909;5.501463636363637;ABOBO;1;12
3.548881818181818;5.499981818181818;ABOBO;1;13
3.555181818181818;5.499981818181818;ABOBO;1;14
3.558890909090909;5.501463636363637;ABOBO;1;15
3.5618545454545454;5.5048;ABOBO;1;16
3.5648181818181817;5.5040545454545455;ABOBO;1;17
3.5670363636363636;5.499609090909091;ABOBO;1;18
3.5711181818181816;5.497754545454545;ABOBO;1;19
3.5755636363636363;5.4992363636363635;ABOBO;1;20
3.5796363636363635;5.4992363636363635;ABOBO;1;21
3.5818545454545454;5.497381818181818;ABOBO;1;22
3.5848272727272725;5.4959;ABOBO;1;23
3.5844545454545456;5.493309090909091;ABOBO;1;24
3.582227272727273;5.490718181818182;ABOBO;1;25
3.5740818181818184;5.478490909090909;ABOBO;1;26
3.5666727272727274;5.463672727272727;ABOBO;1;27
3.561481818181818;5.4555181818181815;ABOBO;1;28
3.5581454545454547;5.451818181818182;ABOBO;1;29
3.5555545454545454;5.446627272727273;ABOBO;1;30
3.547772727272727;5.436990909090909;ABOBO;1;31
3.5437;5.430327272727273;ABOBO;1;32
3.541472727272727;5.426618181818182;ABOBO;1;33
3.5396181818181818;5.422172727272727;ABOBO;1;34
3.5374;5.421063636363637;ABOBO;1;35
3.5325818181818183;5.421809090909091;ABOBO;1;36
3.5318454545454547;5.418472727272727;ABOBO;1;37
3.530727272727273;5.411063636363636;ABOBO;1;38
3.5155363636363637;5.426990909090909;ABOBO;1;39
3.5155363636363637;5.437736363636364;ABOBO;1;40
3.5155363636363637;5.439590909090909;ABOBO;1;41
3.5129454545454544;5.439218181818182;ABOBO;1;42
3.5125727272727274;5.442181818181818;ABOBO;1;43
3.509981818181818;5.442181818181818;ABOBO;1;44
3.5073909090909092;5.4414454545454545;ABOBO;1;45
3.505909090909091;5.441809090909091;ABOBO;1;46
3.5048;5.439590909090909;ABOBO;1;47
3.4981272727272725;5.439218181818182;ABOBO;1;48
3.4925727272727274;5.4414454545454545;ABOBO;1;49
3.4903454545454546;5.447372727272727;ABOBO;1;50
3.4877545454545453;5.448109090909091;ABOBO;1;51
3.484790909090909;5.4507;ABOBO;1;52
3.4825636363636363;5.4507;ABOBO;1;53
3.4810818181818184;5.449590909090909;ABOBO;1;54
3.4796;5.449963636363637;ABOBO;1;55
3.4777454545454547;5.451072727272727;ABOBO;1;56
3.4762636363636363;5.451072727272727;ABOBO;1;57
3.4770090909090907;5.451818181818182;ABOBO;1;58
3.474781818181818;5.452554545454546;ABOBO;1;59
3.4696;5.4555181818181815;ABOBO;1;60
3.467372727272727;5.456627272727273;ABOBO;1;61
3.441809090909091;5.456627272727273;ABOBO;1;62
3.4414454545454545;5.471081818181818;ABOBO;1;63
3.455518181818182;5.485527272727273;ABOBO;1;64
3.5848272727272725;5.4959;COCODY;2;65
3.5844545454545456;5.493309090909091;COCODY;2;66
3.5803454545454545;5.487890909090909;COCODY;2;67
3.573190909090909;5.4767090909090905;COCODY;2;68
3.565981818181818;5.462590909090909;COCODY;2;69
3.558936363636364;5.452690909090909;COCODY;2;70
3.5533;5.443845454545454;COCODY;2;71
3.550027272727273;5.439790909090909;COCODY;2;72
3.5453545454545456;5.433036363636363;COCODY;2;73
3.541472727272727;5.426618181818182;COCODY;2;74
3.5396181818181818;5.422172727272727;COCODY;2;75
3.5325818181818183;5.421809090909091;COCODY;2;76
3.531281818181818;5.414736363636363;COCODY;2;77
3.530727272727273;5.411063636363636;COCODY;2;78
3.5251727272727273;5.401054545454546;COCODY;2;79
3.524436363636364;5.398090909090909;COCODY;2;80
3.5214636363636362;5.3921636363636365;COCODY;2;81
3.5211;5.386981818181818;COCODY;2;82
3.522209090909091;5.384018181818182;COCODY;2;83
3.5214636363636362;5.373636363636364;COCODY;2;84
3.5177636363636364;5.366227272727273;COCODY;2;85
3.5192454545454543;5.364745454545455;COCODY;2;86
3.5196181818181818;5.362154545454546;COCODY;2;87
3.5211;5.361418181818181;COCODY;2;88
3.5207272727272727;5.356963636363636;COCODY;2;89
3.5211;5.355118181818182;COCODY;2;90
3.523690909090909;5.3566;COCODY;2;91
3.5240636363636364;5.3554818181818185;COCODY;2;92
3.522581818181818;5.352518181818182;COCODY;2;93
3.5262818181818183;5.347336363636364;COCODY;2;94
3.5314727272727273;5.342145454545455;COCODY;2;95
3.535172727272727;5.342145454545455;COCODY;2;96
3.541472727272727;5.341036363636364;COCODY;2;97
3.542581818181818;5.3414090909090906;COCODY;2;98
3.541472727272727;5.342518181818182;COCODY;2;99
3.5429545454545455;5.344;COCODY;2;100
3.545181818181818;5.345109090909091;COCODY;2;101
3.545181818181818;5.346590909090909;COCODY;2;102
3.5466636363636366;5.346590909090909;COCODY;2;103
3.547772727272727;5.349190909090909;COCODY;2;104
3.5481454545454545;5.3536363636363635;COCODY;2;105
3.5492545454545454;5.354745454545455;COCODY;2;106
3.5503636363636364;5.3536363636363635;COCODY;2;107
3.549627272727273;5.3503;COCODY;2;108
3.550736363636364;5.347709090909091;COCODY;2;109
3.5511090909090908;5.345481818181818;COCODY;2;110
3.5511090909090908;5.344372727272727;COCODY;2;111
3.552590909090909;5.342518181818182;COCODY;2;112
3.5566636363636364;5.344745454545454;COCODY;2;113
3.5566636363636364;5.345854545454546;COCODY;2;114
3.5644454545454547;5.345109090909091;COCODY;2;115
3.565190909090909;5.347709090909091;COCODY;2;116
3.5696363636363637;5.349554545454546;COCODY;2;117
3.5711181818181816;5.3484454545454545;COCODY;2;118
3.5733363636363635;5.345109090909091;COCODY;2;119
3.5729636363636366;5.342145454545455;COCODY;2;120
3.5785272727272726;5.341781818181818;COCODY;2;121
3.5803727272727275;5.341036363636364;COCODY;2;122
3.584081818181818;5.338818181818182;COCODY;2;123
3.589272727272727;5.339181818181818;COCODY;2;124
3.5922363636363634;5.339927272727273;COCODY;2;125
3.5944545454545453;5.340663636363637;COCODY;2;126
3.5952;5.342890909090909;COCODY;2;127
3.597790909090909;5.341036363636364;COCODY;2;128
3.6037181818181816;5.341036363636364;COCODY;2;129
3.6055727272727274;5.342890909090909;COCODY;2;130
3.6085363636363637;5.341781818181818;COCODY;2;131
3.610390909090909;5.344;COCODY;2;132
3.610018181818182;5.346963636363636;COCODY;2;133
3.6107545454545455;5.349554545454546;COCODY;2;134
3.6077909090909093;5.352154545454545;COCODY;2;135
3.602609090909091;5.357336363636364;COCODY;2;136
3.6037181818181816;5.358445454545454;COCODY;2;137
3.6066818181818183;5.356227272727272;COCODY;2;138
3.6074272727272727;5.358445454545454;COCODY;2;139
3.608909090909091;5.3606727272727275;COCODY;2;140
3.6118727272727273;5.3629;COCODY;2;141
3.6118727272727273;5.386981818181818;COCODY;2;142
3.6118727272727273;5.388463636363636;COCODY;2;143
3.6259454545454544;5.417354545454545;COCODY;2;144
3.6255818181818182;5.451445454545454;COCODY;2;145
3.6185363636363634;5.454036363636364;COCODY;2;146
3.6192818181818183;5.456627272727273;COCODY;2;147
3.623727272727273;5.456627272727273;COCODY;2;148
3.6255818181818182;5.458481818181818;COCODY;2;149
3.624836363636364;5.459590909090909;COCODY;2;150
3.6233545454545455;5.4603363636363635;COCODY;2;151
3.620018181818182;5.461445454545455;COCODY;2;152
3.6152;5.462927272727272;COCODY;2;153
3.6096454545454546;5.466263636363636;COCODY;2;154
3.6059454545454543;5.470336363636363;COCODY;2;155
3.602609090909091;5.474045454545455;COCODY;2;156
3.6007545454545453;5.477745454545454;COCODY;2;157
3.597790909090909;5.479972727272727;COCODY;2;158
3.5959363636363637;5.480709090909091;COCODY;2;159
3.5944545454545453;5.4847909090909095;COCODY;2;160
3.5911181818181817;5.490718181818182;COCODY;2;161
3.5848272727272725;5.4959;COCODY;2;162
3.5848272727272725;5.4959;COCODY;2;163
3.5155363636363637;5.426990909090909;ADJAME;3;164
3.530727272727273;5.411063636363636;ADJAME;3;165
3.526572727272727;5.403581818181818;ADJAME;3;166
3.5251727272727273;5.401054545454546;ADJAME;3;167
3.5214636363636362;5.3921636363636365;ADJAME;3;168
3.521990909090909;5.384609090909091;ADJAME;3;169
