city;lat;lng;country;admin;capital;Confirmed;Recovery;Deaths
Ouaninou;8.237897;-7.866379;Ivory Coast;Woroba;minor;;;
Oume;6.383086;-5.417591;Ivory Coast;G«Ôh-Djiboua;minor;;;
Prikro;7.647048;-3.996256;Ivory Coast;Lacs;minor;;;
Sakassou;7.454624;-5.292628;Ivory Coast;Vallee du Bandama;minor;;;
Samatiguila;9.819521;-7.560846;Ivory Coast;Denguele;minor;;;
Sandegue;7.953756;-3.580124;Ivory Coast;Zanzan;minor;;;
San-Pedro;4.748508;-6.636301;Ivory Coast;Bas-Sassandra;admin;7;2;0
Sassandra;4.95;-6.083333;Ivory Coast;Bas-Sassandra;minor;2;0;0
Seguela;7.961111;-6.673056;Ivory Coast;Woroba;admin;;;
Seguelon;9.356944;-7.120833;Ivory Coast;Denguele;minor;;;
Sikensi;5.668294;-4.573709;Ivory Coast;Lagunes;minor;;;
Sinematiali;9.584103;-5.384757;Ivory Coast;Savanes;minor;;;
Sinfra;6.621026;-5.911442;Ivory Coast;Sassandra-Marahou«∏;minor;1;0;0
Sipilou;7.8645;-8.101433;Ivory Coast;Montagnes;minor;;;
Songon;5.319597;-4.254152;Ivory Coast;Abidjan;minor;;;
Soubre;5.785556;-6.608333;Ivory Coast;Bas-Sassandra;;1;1;0
Soubre;5.783766;-6.59388;Ivory Coast;Bas-Sassandra;minor;;;
Ta«Ó;5.873663;-7.455185;Ivory Coast;Montagnes;minor;;;
Taabo;6.199799;-5.108841;Ivory Coast;Lagunes;minor;;;
Tabou;4.42295;-7.3528;Ivory Coast;Bas-Sassandra;minor;;;
Tanda;7.803355;-3.168325;Ivory Coast;Zanzan;minor;;;
Tehini;9.60542;-3.658043;Ivory Coast;Zanzan;minor;;;
Tengrela;10.48115;-6.406939;Ivory Coast;Savanes;minor;;;
Tiapoum;5.136221;-3.023077;Ivory Coast;Comoe;minor;;;
Tiassale;5.898394;-4.822926;Ivory Coast;Lagunes;minor;1;0;0
Tiebissou;7.157722;-5.2248;Ivory Coast;Lacs;minor;;;
Touba;8.283333;-7.683333;Ivory Coast;Woroba;minor;;;
Toulepleu;6.579742;-8.410906;Ivory Coast;Montagnes;minor;1;1;0
Toumodi;6.557986;-5.017688;Ivory Coast;Lacs;minor;;;
Transua;7.550045;-3.014313;Ivory Coast;Zanzan;minor;;;
Vavoua;7.381944;-6.477778;Ivory Coast;Sassandra-Marahou«∏;minor;;;
Yakasse-Attobrou;6.181743;-3.651111;Ivory Coast;Lagunes;minor;;;
Yamoussoukro;6.820548;-5.276741;Ivory Coast;Yamoussoukro;primary;4;4;0
Zouan-Hounien;6.919371;-8.206503;Ivory Coast;Montagnes;minor;3;0;0
Zoukougbeu;6.76229;-6.8638;Ivory Coast;Sassandra-Marahou«∏;minor;;;
Zuenoula;7.430272;-6.050541;Ivory Coast;Sassandra-Marahou«∏;minor;;;
